"","year","month","numb"
"1",1997,6,1
"2",1997,7,1
"3",1998,5,1
"4",1999,7,1
"5",1999,12,3
"6",2000,1,1
"7",2000,4,4
"8",2000,6,1
"9",2000,8,1
"10",2000,11,1
"11",2001,5,1
"12",2001,7,1
"13",2001,8,1
"14",2001,9,3
"15",2001,10,7
"16",2001,12,1
"17",2002,1,2
"18",2002,2,3
"19",2002,7,5
"20",2002,8,2
"21",2002,11,1
"22",2003,1,1
"23",2003,4,1
"24",2003,5,1
"25",2003,6,6
"26",2003,9,1
"27",2003,10,1
"28",2004,1,1
"29",2004,4,1
"30",2004,8,1
"31",2004,12,2
"32",2005,7,2
"33",2005,8,1
"34",2005,12,1
"35",2006,3,2
"36",2006,6,1
"37",2006,7,1
"38",2006,8,1
"39",2006,12,1
"40",2007,5,1
"41",2007,10,1
"42",2008,1,1
"43",2008,3,2
"44",2008,7,1
"45",2009,3,1
"46",2009,10,1
"47",2009,12,1
"48",2010,1,1
"49",2010,6,1
"50",2010,7,1
"51",2010,8,1
"52",2011,1,1
"53",2011,6,1
"54",2011,7,1
"55",2011,11,1
"56",2012,5,1
"57",2012,6,1
"58",2012,12,2
"59",2013,1,1
"60",2013,3,1
"61",2013,8,1
"62",2013,12,1
"63",2014,3,1
"64",2014,5,2
"65",2014,7,1
"66",2014,10,1
"67",2014,11,2
"68",2014,12,1
"69",2015,1,10
"70",2015,2,2
"71",2015,3,6
"72",2015,7,2
"73",2015,11,2
"74",2015,12,1
"75",2016,4,3
"76",2016,5,3
"77",2016,6,1
"78",2016,7,1
"79",2016,8,2
"80",2016,11,3
"81",2016,12,2
"82",2017,1,7
"83",2017,2,2
"84",2017,3,6
"85",2017,4,10
"86",2017,5,2
"87",2017,6,4
"88",2017,7,5
"89",2017,11,2
"90",2017,12,2
"91",2018,1,2
"92",2018,2,2
"93",2018,3,1
